ZONE I=5, J=5
0 0 0.761594
0.0625 0 0.704195
0.125 0 0.635149
0.1875 0 0.554456
0.25 0 0.462117
0 0.125 0.843956
0.0625 0.125 0.805081
0.125 0.125 0.756638
0.1875 0.125 0.698628
0.25 0.125 0.631049
0 0.25 0.905148
0.0625 0.25 0.880349
0.125 0.25 0.848064
0.1875 0.25 0.808292
0.25 0.25 0.761033
0 0.375 0.945172
0.0625 0.375 0.93
0.125 0.375 0.909426
0.1875 0.375 0.883448
0.25 0.375 0.852068
0 0.5 0.964028
0.0625 0.5 0.954033
0.125 0.5 0.940723
0.1875 0.5 0.924098
0.25 0.5 0.904156
ZONE I=5, J=5
0.25 0 0.462117
0.3125 0 0.356983
0.375 0 0.244919
0.4375 0 0.125924
0.5 0 0
0.25 0.125 0.631049
0.3125 0.125 0.551478
0.375 0.125 0.461583
0.4375 0.125 0.361362
0.5 0.125 0.250817
0.25 0.25 0.761033
0.3125 0.25 0.703404
0.375 0.25 0.634266
0.4375 0.25 0.553619
0.5 0.25 0.461463
0.25 0.375 0.852068
0.3125 0.375 0.812759
0.375 0.375 0.762967
0.4375 0.375 0.702693
0.5 0.375 0.631937
0.25 0.5 0.904156
0.3125 0.5 0.879545
0.375 0.5 0.847688
0.4375 0.5 0.808586
0.5 0.5 0.762239
ZONE I=5, J=5
0.5 0 0
0.5625 0 -0.125924
0.625 0 -0.244919
0.6875 0 -0.356983
0.75 0 -0.462117
0.5 0.125 0.250817
0.5625 0.125 0.131897
0.625 0.125 0.0119369
0.6875 0.125 -0.109064
0.75 0.125 -0.231106
0.5 0.25 0.461463
0.5625 0.25 0.356468
0.625 0.25 0.244659
0.6875 0.25 0.126037
0.75 0.25 0.000601423
0.5 0.375 0.631937
0.5625 0.375 0.547787
0.625 0.375 0.453248
0.6875 0.375 0.348321
0.75 0.375 0.233005
0.5 0.5 0.762239
0.5625 0.5 0.705855
0.625 0.5 0.637704
0.6875 0.5 0.557788
0.75 0.5 0.466105
ZONE I=5, J=5
0.75 0 -0.462117
0.8125 0 -0.554456
0.875 0 -0.635149
0.9375 0 -0.704195
1 0 -0.761594
0.75 0.125 -0.231106
0.8125 0.125 -0.346703
0.875 0.125 -0.452082
0.9375 0.125 -0.547243
1 0.125 -0.632186
0.75 0.25 0.000601423
0.8125 0.25 -0.124946
0.875 0.25 -0.243915
0.9375 0.25 -0.356305
1 0.25 -0.462117
0.75 0.375 0.233005
0.8125 0.375 0.110816
0.875 0.375 -0.0106461
0.9375 0.375 -0.131381
1 0.375 -0.251389
0.75 0.5 0.466105
0.8125 0.5 0.360582
0.875 0.5 0.247723
0.9375 0.5 0.127529
1 0.5 0
ZONE I=5, J=5
0 0.5 0.964028
0.0625 0.5 0.954033
0.125 0.5 0.940723
0.1875 0.5 0.924098
0.25 0.5 0.904156
0 0.625 0.977089
0.0625 0.625 0.970787
0.125 0.625 0.962301
0.1875 0.625 0.95163
0.25 0.625 0.938774
0 0.75 0.986614
0.0625 0.75 0.982983
0.125 0.75 0.97801
0.1875 0.75 0.971695
0.25 0.75 0.964039
0 0.875 0.992603
0.0625 0.875 0.990621
0.125 0.875 0.987851
0.1875 0.875 0.984295
0.25 0.875 0.979952
0 1 0.995055
0.0625 1 0.9937
0.125 1 0.991825
0.1875 1 0.989429
0.25 1 0.986512
ZONE I=5, J=5
0.25 0.5 0.904156
0.3125 0.5 0.879545
0.375 0.5 0.847688
0.4375 0.5 0.808586
0.5 0.5 0.762239
0.25 0.625 0.938774
0.3125 0.625 0.922846
0.375 0.625 0.901833
0.4375 0.625 0.875733
0.5 0.625 0.844548
0.25 0.75 0.964039
0.3125 0.75 0.954497
0.375 0.75 0.941567
0.4375 0.75 0.925249
0.5 0.75 0.905543
0.25 0.875 0.979952
0.3125 0.875 0.974498
0.375 0.875 0.966892
0.4375 0.875 0.957134
0.5 0.875 0.945224
0.25 1 0.986512
0.3125 1 0.982848
0.375 1 0.977806
0.4375 1 0.971387
0.5 1 0.96359
ZONE I=5, J=5
0.5 0.5 0.762239
0.5625 0.5 0.705855
0.625 0.5 0.637704
0.6875 0.5 0.557788
0.75 0.5 0.466105
0.5 0.625 0.844548
0.5625 0.625 0.806181
0.625 0.625 0.758169
0.6875 0.625 0.700512
0.75 0.625 0.633211
0.5 0.75 0.905543
0.5625 0.75 0.880952
0.625 0.75 0.848822
0.6875 0.75 0.809151
0.75 0.75 0.761941
0.5 0.875 0.945224
0.5625 0.875 0.930169
0.625 0.875 0.909663
0.6875 0.875 0.883704
0.75 0.875 0.852293
0.5 1 0.96359
0.5625 1 0.953832
0.625 1 0.940693
0.6875 1 0.924172
0.75 1 0.90427
ZONE I=5, J=5
0.75 0.5 0.466105
0.8125 0.5 0.360582
0.875 0.5 0.247723
0.9375 0.5 0.127529
1 0.5 0
0.75 0.625 0.633211
0.8125 0.625 0.553463
0.875 0.625 0.463244
0.9375 0.625 0.362552
1 0.625 0.251389
0.75 0.75 0.761941
0.8125 0.75 0.704264
0.875 0.75 0.635067
0.9375 0.75 0.554352
1 0.75 0.462117
0.75 0.875 0.852293
0.8125 0.875 0.812982
0.875 0.875 0.763194
0.9375 0.875 0.702928
1 0.875 0.632186
0.75 1 0.90427
0.8125 1 0.87962
0.875 1 0.847624
0.9375 1 0.808282
1 1 0.761594
ZONE I=5, J=5
0 1 0.995055
0.0625 1 0.9937
0.125 1 0.991825
0.1875 1 0.989429
0.25 1 0.986512
0 1.125 0.996863
0.0625 1.125 0.996002
0.125 1.125 0.994809
0.1875 1.125 0.993285
0.25 1.125 0.99143
0 1.25 0.998178
0.0625 1.25 0.997677
0.125 1.25 0.996982
0.1875 1.25 0.996094
0.25 1.25 0.995012
0 1.375 0.999
0.0625 1.375 0.998725
0.125 1.375 0.998343
0.1875 1.375 0.997854
0.25 1.375 0.997258
0 1.5 0.999329
0.0625 1.5 0.999146
0.125 1.5 0.998891
0.1875 1.5 0.998565
0.25 1.5 0.998169
ZONE I=5, J=5
0.25 1 0.986512
0.3125 1 0.982848
0.375 1 0.977806
0.4375 1 0.971387
0.5 1 0.96359
0.25 1.125 0.99143
0.3125 1.125 0.9891
0.375 1.125 0.985893
0.4375 1.125 0.981807
0.5 1.125 0.976843
0.25 1.25 0.995012
0.3125 1.25 0.993656
0.375 1.25 0.991785
0.4375 1.25 0.9894
0.5 1.25 0.986501
0.25 1.375 0.997258
0.3125 1.375 0.996513
0.375 1.375 0.995482
0.4375 1.375 0.994166
0.5 1.375 0.992564
0.25 1.5 0.998169
0.3125 1.5 0.997672
0.375 1.5 0.996984
0.4375 1.5 0.996103
0.5 1.5 0.995031
ZONE I=5, J=5
0.5 1 0.96359
0.5625 1 0.953832
0.625 1 0.940693
0.6875 1 0.924172
0.75 1 0.90427
0.5 1.125 0.976843
0.5625 1.125 0.970634
0.625 1.125 0.962212
0.6875 1.125 0.951578
0.75 1.125 0.938731
0.5 1.25 0.986501
0.5625 1.25 0.982877
0.625 1.25 0.977907
0.6875 1.25 0.971592
0.75 1.25 0.96393
0.5 1.375 0.992564
0.5625 1.375 0.990561
0.625 1.375 0.987777
0.6875 1.375 0.984213
0.75 1.375 0.979869
0.5 1.5 0.995031
0.5625 1.5 0.993685
0.625 1.5 0.991822
0.6875 1.5 0.989443
0.75 1.5 0.986546
ZONE I=5, J=5
0.75 1 0.90427
0.8125 1 0.87962
0.875 1 0.847624
0.9375 1 0.808282
1 1 0.761594
0.75 1.125 0.938731
0.8125 1.125 0.922766
0.875 1.125 0.901648
0.9375 1.125 0.875378
1 1.125 0.843956
0.75 1.25 0.96393
0.8125 1.25 0.954361
0.875 1.25 0.941375
0.9375 1.25 0.92497
1 1.25 0.905148
0.75 1.375 0.979869
0.8125 1.375 0.974407
0.875 1.375 0.966804
0.9375 1.375 0.957059
1 1.375 0.945172
0.75 1.5 0.986546
0.8125 1.5 0.982903
0.875 1.5 0.977935
0.9375 1.5 0.971643
1 1.5 0.964028
ZONE I=5, J=5
0 1.5 0.999329
0.0625 1.5 0.999146
0.125 1.5 0.998891
0.1875 1.5 0.998565
0.25 1.5 0.998169
0 1.625 0.999575
0.0625 1.625 0.999459
0.125 1.625 0.999298
0.1875 1.625 0.999093
0.25 1.625 0.998842
0 1.75 0.999753
0.0625 1.75 0.999687
0.125 1.75 0.999594
0.1875 1.75 0.999475
0.25 1.75 0.99933
0 1.875 0.999865
0.0625 1.875 0.999829
0.125 1.875 0.999778
0.1875 1.875 0.999713
0.25 1.875 0.999634
0 2 0.999909
0.0625 2 0.999885
0.125 2 0.99985
0.1875 2 0.999807
0.25 2 0.999753
ZONE I=5, J=5
0.25 1.5 0.998169
0.3125 1.5 0.997672
0.375 1.5 0.996984
0.4375 1.5 0.996103
0.5 1.5 0.995031
0.25 1.625 0.998842
0.3125 1.625 0.998528
0.375 1.625 0.998092
0.4375 1.625 0.997535
0.5 1.625 0.996856
0.25 1.75 0.99933
